region,period,amount,count,ticket,share_korean,share_chinese,share_japanese,share_western,share_bakery,share_supermarket,share_convenience,concentration,amount_growth,count_growth,ticket_growth,share_change_korean,share_change_chinese,share_change_japanese,share_change_western,share_change_bakery,share_change_supermarket,share_change_convenience,year,q,quarter,future_growth,target
강원특별자치도 평창군,8105,6793560000.0,292342.0,23238.398861607297,0.5767668203416176,0.02405807853319909,0.0069683641566424676,0.0831169519368343,0.020033678954774817,0.11341329141127773,0.17564281466565393,0.38431006329285466,-0.07892299953766913,-0.07297490130170758,-0.006416329228101425,0.031056396746201864,0.0008764557111368212,-0.002835490950757944,-0.025349126399099933,0.0003974967503106823,0.008710938947027028,-0.012856670804818587,2026,2,20262,,
강원특별자치도 홍천군,8104,10212920000.0,511947.0,19949.174426258967,0.4665590252347027,0.02878217003560196,0.021690172839893,0.08716410194146239,0.02164611100449235,0.25519733827348107,0.11896108067036655,0.3063197559027501,,,,,,,,,,,2026,1,20261,0.045418939930989444,0.0
강원특별자치도 홍천군,8105,10676780000.0,547516.0,19500.3981618802,0.5118434584209846,0.02709805765408672,0.01779656413263175,0.06954250251480315,0.017852760851118032,0.22610187715771984,0.1297647792686559,0.33615058587082147,0.045418939930989444,0.06947789517274239,-0.02249598177797507,0.045284433186281836,-0.001684112381515241,-0.0038936087072612494,-0.017621599426659237,-0.0037933501533743176,-0.029095461115761223,0.010803698598289349,2026,2,20262,,
강원특별자치도 화천군,8104,2856780000.0,154185.0,18528.261504037357,0.4432612941843614,0.056563683587815654,0.015524471607894202,0.1066655465244086,0.02329195807867599,0.1659350737543668,0.18875797226247734,0.2750051093627207,,,,,,,,,,,2026,1,20261,0.05043440516945652,0.0
강원특별자치도 화천군,8105,3000860000.0,159759.0,18783.667899774035,0.42547802963150566,0.058479902427970645,0.014062635377858347,0.10464666795518618,0.02231693581173397,0.1609805189179102,0.21403530987783503,0.2678240224845925,0.05043440516945652,0.0361513765930539,0.013784692950335575,-0.017783264552855726,0.0019162188401549915,-0.0014618362300358543,-0.002018878569222421,-0.0009750222669420196,-0.004954554836456598,0.025277337615357692,2026,2,20262,,
강원특별자치도 횡성군,8104,5421410000.0,240836.0,22510.79572821339,0.40152285106642,0.029634357113739785,0.011681462940452761,0.07377601029990354,0.02338690488267812,0.326520222598918,0.1334781910978878,0.29265698190705447,,,,,,,,,,,2026,1,20261,0.16416393521242623,0.0
강원특별자치도 횡성군,8105,6311410000.0,277203.0,22768.187934474012,0.4449798064140976,0.026209674224935475,0.017862886423160595,0.07561860186551024,0.022996446119013025,0.28174845240603924,0.1305841325472438,0.3016944734391853,0.16416393521242623,0.15100317228321347,0.01143416738209857,0.04345695534767763,-0.0034246828888043097,0.006181423482707834,0.001842591565606705,-0.0003904587636650962,-0.04477177019287876,-0.0028940585506440075,2026,2,20262,,
경기도 가평군,8104,10153140000.0,423764.0,23959.420809695963,0.4482317785433866,0.027842618145716497,0.006138987544739854,0.10346355905660712,0.025863919930189085,0.23019775163151499,0.15826138514784588,0.2911359471413849,,,,,,,,,,,2026,1,20261,0.37000868696777545,1.0
경기도 가평군,8105,13909890000.0,566503.0,24553.956466249958,0.4913029506344047,0.02432010605403781,0.0044090930985076085,0.10158096145979587,0.021780905528368665,0.20672054200284834,0.14988544122203698,0.3179816245155116,0.37000868696777545,0.33683606913281916,0.02481427498920996,0.04307117209101813,-0.0035225120916786874,-0.0017298944462322456,-0.001882597596811253,-0.00408301440182042,-0.023477209628666645,-0.008375943925808899,2026,2,20262,,
경기도 고양시 덕양구,8104,47250030000.0,2660623.0,17759.00982589416,0.462929018246126,0.032417968835152064,0.02825500851533851,0.1313486996727833,0.039475318851649406,0.14158996301166368,0.16398402286728705,0.2819018052294744,,,,,,,,,,,2026,1,20261,0.04951658231751388,0.0
