quarter,admin,name,amount,count,cafe_amount,common_amount,western_amount,bakery_amount,known_age_amount,young_amount,weekend_amount,stores,openings,closures,population,cafe_share,young_share,weekend_share,opening_rate,closure_rate,western_share_common,bakery_share_common
20231,11170560,원효로1동,18310222222,711638,1103847233,12045401310,21976377,249996347,14105930283,6948036957,3601479388,301,10,8,5230273,0.060285845776012016,0.4925614133633954,0.19669228173936468,0.03322259136212625,0.026578073089700997,0.0018244620029185228,0.02075450543872332
20232,11170560,원효로1동,18683540355,771839,1333342082,12264194150,0,272205046,14407798555,7112356874,3864382450,299,9,8,5160977,0.0713645303120068,0.4936463295797378,0.20683352172950628,0.030100334448160536,0.026755852842809364,0.0,0.022195102480500117
20233,11170560,원효로1동,17884879643,712775,1189144940,12071826338,0,283889082,13738523849,6697130471,3798106634,293,8,14,5126860,0.06648884218046286,0.48747089167716307,0.21236411481731993,0.027303754266211604,0.04778156996587031,0.0,0.02351666384616276
20234,11170560,원효로1동,18134428673,680123,1045798809,12123767574,0,300420964,13869310001,6656989951,3804826467,298,13,8,5026946,0.05766924494054062,0.4799798944951133,0.2098123153262023,0.0436241610738255,0.026845637583892617,0.0,0.02477950539436826
20241,11170560,원효로1동,17628314050,629573,961447937,11871947255,0,261721696,13470223053,6119762955,3747900022,300,12,10,4894686,0.054539982341646566,0.45431786325446527,0.2126068330397143,0.04,0.03333333333333333,0.0,0.022045389048521342
20242,11170560,원효로1동,18318750286,675252,1170160607,12149929589,0,269961367,14011323828,6095207883,3636214717,303,15,10,4940428,0.0638777530525261,0.4350201278496923,0.19849687670992253,0.04950495049504951,0.033003300330033,0.0,0.02221917131473839
20243,11170560,원효로1동,16991961694,636882,1052995819,11558525910,0,242608722,13200430153,5780618358,3336538187,300,8,14,4856440,0.06197023262898606,0.4379113628116328,0.19635979924426022,0.02666666666666667,0.04666666666666667,0.0,0.020989590185553342
20244,11170560,원효로1동,18038925114,641159,1042528930,12563832277,0,260826046,13872007901,6092374135,3605453523,298,9,11,5038071,0.05779329552129987,0.4391847365197085,0.19987075173352814,0.030201342281879196,0.03691275167785235,0.0,0.020760070673458576
20251,11170560,원효로1동,15792195339,562659,958083538,10905995445,0,237674263,12366075721,5232687256,3299061845,300,10,13,5005893,0.06066816661227217,0.42314856985016513,0.2089045743281,0.03333333333333333,0.043333333333333335,0.0,0.021792991221994774
20252,11170560,원효로1동,16254243535,604601,1107064525,11182587898,0,255818747,12674308468,5424468480,3321434461,294,10,15,5018335,0.06810926159782064,0.4279893055858359,0.20434260467723453,0.034013605442176874,0.05102040816326531,0.0,0.02287652458745735
20253,11170560,원효로1동,16316905363,594255,1076486745,11234176913,0,263156417,12535798569,5448982439,3415119619,291,8,10,4921052,0.0659737077007891,0.43467373929211706,0.20929946843621955,0.027491408934707903,0.03436426116838488,0.0,0.023424628171511152
20254,11170560,원효로1동,15985473690,554403,951474325,10856864198,0,266372730,12391632685,5341343377,3358916574,292,8,9,4702896,0.05952118426088379,0.431044359752986,0.21012305541506915,0.0273972602739726,0.030821917808219176,0.0,0.024534960108377326
20211,11170570,원효로2동,2238917227,139240,323808446,1805257391,0,105616707,1597490578,549358644,367896999,106,3,4,3638402,0.14462725200157656,0.34388850335992405,0.1643191604242366,0.02830188679245283,0.03773584905660377,0.0,0.05850506832241519
20212,11170570,원효로2동,2400661938,160765,419572767,1845274098,0,122745792,1786409770,641590947,444247356,104,3,6,3590760,0.17477378233003002,0.3591510513290576,0.1850520262632664,0.028846153846153848,0.057692307692307696,0.0,0.06651900231680377
20213,11170570,원효로2동,2110867487,146515,406473495,1610788653,0,121848346,1636250638,548185722,396968885,104,3,3,3964451,0.19256229844047998,0.3350255207050987,0.18805959514027987,0.028846153846153848,0.028846153846153848,0.0,0.07564514796715543
20214,11170570,원효로2동,2407679794,140470,343260292,1957386409,0,129860182,1786825030,650674860,424546227,105,4,4,4039471,0.1425689133810125,0.3641514133031817,0.1763300203199695,0.0380952380952381,0.0380952380952381,0.0,0.06634366183544907
20221,11170570,원효로2동,2052713631,122238,300736892,1655689906,0,120022783,1498670255,515416713,351099768,109,5,1,3988232,0.1465069883388912,0.3439160224074775,0.17104176768629836,0.045871559633027525,0.009174311926605505,0.0,0.0724911002749086
20222,11170570,원효로2동,2549296301,145513,405265951,1955817666,0,115566043,1884347224,662388395,487594787,107,5,7,3918613,0.15897169381253498,0.3515214110029649,0.1912664239181352,0.04672897196261682,0.06542056074766354,0.0,0.05908835215521568
